28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
587.0, 27.0, 286.0
588.0, 21.0, 291.0
589.0, 21.0, 297.0
590.0, 20.0, 302.0
590.0, 20.0, 302.0
591.0, 15.0, 311.0
592.0, 17.0, 314.0
593.0, 14.0, 312.0
594.0, 16.0, 315.0
595.0, 13.0, 313.0
595.0, 13.0, 313.0
596.0, 10.0, 313.0
597.0, 14.0, 312.0
598.0, 13.0, 308.0
599.0, 12.0, 310.0
600.0, 10.0, 310.0
600.0, 10.0, 310.0
601.0, 11.0, 308.0
602.0, 13.0, 303.0
603.0, 17.0, 306.0
604.0, 17.0, 297.0
605.0, 17.0, 297.0
605.0, 17.0, 295.0
606.0, 21.0, 294.0
607.0, 26.0, 297.0
608.0, 22.0, 301.0
609.0, 25.0, 305.0
610.0, 24.0, 304.0
610.0, 24.0, 304.0
611.0, 20.0, 306.0
612.0, 22.0, 302.0
613.0, 13.0, 302.0
614.0, 24.0, 303.0
615.0, 24.0, 303.0
615.0, 15.0, 303.0
616.0, 19.0, 309.0
617.0, 23.0, 308.0
618.0, 26.0, 308.0
619.0, 23.0, 308.0
620.0, 19.0, 302.0
620.0, 19.0, 302.0
621.0, 16.0, 301.0
622.0, 13.0, 307.0
623.0, 13.0, 310.0
624.0, 14.0, 310.0
625.0, 14.0, 310.0
625.0, 14.0, 310.0
626.0, 15.0, 315.0
627.0, 12.0, 319.0
628.0, 15.0, 315.0
629.0, 18.0, 316.0
630.0, 18.0, 314.0
630.0, 18.0, 314.0
631.0, 21.0, 316.0
632.0, 26.0, 312.0
633.0, 23.0, 314.0
634.0, 16.0, 316.0
635.0, 16.0, 316.0
635.0, 11.0, 315.0
636.0, 14.0, 311.0
637.0, 19.0, 311.0
638.0, 21.0, 307.0
639.0, 20.0, 306.0
640.0, 15.0, 308.0
640.0, 15.0, 308.0
641.0, 21.0, 312.0
642.0, 16.0, 305.0
643.0, 14.0, 305.0
644.0, 27.0, 310.0
645.0, 21.0, 304.0
